Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Extracted_Features
FIN,435,58354,Personal Wealth Management,0,22,12,13,8,1,1,0,0,0,0,0,0,0,3.58,4
FIN,445,64964,Real Estate Investment,6,20,6,2,1,1,0,0,0,0,0,0,0,0,3.84,4
FIN,445,64965,Real Estate Investment,6,12,6,1,0,2,0,0,0,0,0,0,0,0,3.8,4
FIN,447,64830,Real Estate Development,6,49,2,1,0,0,0,0,0,0,0,0,0,0,3.98,4
FIN,463,63319,Investment Banking,0,29,3,3,0,0,0,0,0,0,0,0,0,0,3.91,4
FIN,500,56595,Introduction to Finance,0,15,19,8,10,7,3,2,1,0,0,0,0,0,3.35,4
FIN,501,56197,Financial Economics,1,17,15,20,9,1,0,0,0,0,0,0,0,0,3.54,4
FIN,501,56198,Financial Economics,1,19,10,9,14,0,0,0,0,0,0,0,0,0,3.56,4
FIN,501,56196,Financial Economics,1,11,14,22,13,1,0,0,0,0,0,0,0,0,3.46,4
FIN,511,65694,Investments,10,94,34,10,27,8,1,2,1,0,0,0,0,0,3.66,4
FIN,511,32461,Investments,3,7,5,5,5,1,0,0,0,0,0,0,0,0,3.56,4
FIN,511,65654,Investments,0,11,11,2,3,1,1,1,0,0,0,0,0,0,3.56,4
FIN,511,60177,Investments,0,13,14,18,14,1,0,0,0,0,0,0,0,0,3.47,4
FIN,511,32456,Investments,6,16,11,8,2,5,0,0,0,0,0,1,0,0,3.57,4
FIN,511,60176,Investments,0,9,16,11,6,0,0,0,0,0,0,0,0,0,3.56,4
FIN,512,41693,Financial Derivatives,2,22,5,8,9,2,0,0,0,0,0,0,0,2,3.61,4
FIN,512,32466,Financial Derivatives,4,14,8,6,6,2,0,0,0,0,0,0,0,0,3.62,4
FIN,516,58387,Term Structure Models,1,13,3,12,1,0,0,0,0,0,0,0,0,0,3.67,4
FIN,520,32449,Financial Management,11,15,0,3,6,0,0,3,0,0,0,0,0,0,3.63,4
FIN,520,32443,Financial Management,0,46,0,0,6,0,0,0,0,0,0,0,0,0,3.88,4
FIN,521,60180,Advanced Corporate Finance,0,6,5,0,11,0,2,2,0,0,0,0,0,0,3.23,4
FIN,521,60181,Advanced Corporate Finance,2,24,5,4,11,4,1,0,0,0,0,0,0,0,3.56,4
FIN,530,67104,Foundations in Risk Management,2,14,0,2,9,0,0,0,0,0,0,0,0,0,3.62,4
FIN,541,29855,Real Estate Fundamentals,3,23,3,1,3,0,0,0,0,0,0,0,0,0,3.86,4
FIN,545,67123,Real Estate Investment,2,5,12,6,1,0,0,0,0,0,0,0,0,0,3.65,4
FIN,563,67137,Investment Banking,0,18,2,2,0,0,0,0,0,0,0,0,0,0,3.91,4
FIN,571,63323,Retirement Policy,1,10,6,5,5,0,0,0,1,0,0,0,0,0,3.55,4
FIN,571,63324,Retirement Policy,0,8,5,5,3,0,0,0,0,0,0,0,0,0,3.62,4
FIN,575,63327,Business Tax Policy,0,10,16,12,2,0,0,1,0,0,0,0,0,0,3.58,4
FIN,578,65249,Govt Market Economy,0,9,15,5,1,0,0,0,0,0,0,0,0,0,3.69,4
FIN,580,66670,Corporate Finance,0,7,9,9,4,1,0,0,0,0,0,0,0,0,3.52,4
FIN,580,58811,Financial Statements,0,18,6,3,5,0,0,0,0,0,0,0,0,0,3.72,4
FIN,580,66865,Quantitative Methods,2,21,11,4,7,4,0,0,0,0,0,0,0,0,3.62,4
FIN,580,60270,Wealth Management,3,13,6,2,4,0,0,0,1,0,0,0,0,0,3.67,4
FR,101,37432,Elementary French I,0,3,5,2,6,3,0,2,0,0,1,0,0,0,3.09,4
FR,101,37433,Elementary French I,0,2,2,1,6,5,0,3,3,0,1,0,0,0,2.7,3
FR,102,32511,Elementary French II,0,6,6,0,4,1,2,2,0,0,0,0,0,0,3.3,4
FR,103,37439,Intermediate French I,0,1,5,4,2,4,0,3,1,0,2,1,0,0,2.73,3
FR,103,37443,Intermediate French I,0,4,3,2,3,5,2,4,1,0,0,0,0,0,2.93,4
FR,103,37440,Intermediate French I,0,4,4,1,7,2,0,3,0,0,1,1,0,0,2.96,4
FR,104,32520,Intermediate French II,1,5,4,2,6,2,0,0,0,0,1,0,0,0,3.32,4
FSHN,101,54366,Intro Food Science & Nutrition,0,149,0,37,32,15,8,15,5,5,2,1,5,1,3.36,4
FSHN,101,30232,Intro Food Science & Nutrition,9,23,8,7,19,10,6,4,6,2,1,1,4,1,3.01,4
FSHN,120,30234,Contemporary Nutrition,104,169,85,80,69,52,37,33,15,0,18,0,18,7,3.25,4
FSHN,140,30236,Introduction to Hospitality,4,5,4,4,2,0,0,2,0,0,1,0,0,0,3.41,4
FSHN,150,60251,Introduction to Dietetics,0,25,0,0,3,0,0,4,0,0,1,0,0,1,3.58,4
FSHN,220,58093,Principles of Nutrition,0,29,0,0,17,0,0,6,0,0,1,0,0,0,3.4,4
FSHN,232,62851,Science of Food Preparation,2,12,5,10,0,4,1,0,0,0,0,0,0,0,3.55,4
FSHN,302,32060,Sensory Evaluation of Foods,0,49,0,0,3,0,0,0,0,0,0,0,0,0,3.94,4
FSHN,345,30240,Hospitality Purchasing,0,33,0,0,6,0,0,0,0,0,0,0,0,0,3.85,4
FSHN,349,30238,Food Service Sanitation,1,3,6,8,6,2,0,0,0,0,0,0,2,0,3.14,4
FSHN,398,66587,Foundations in Beverage Mgmt,8,11,9,0,2,4,0,1,0,1,0,0,2,0,3.4,4
FSHN,414,30241,Food Chemistry,5,41,0,4,5,1,0,0,2,0,0,0,0,0,3.76,4
FSHN,416,54484,Food Chemistry Laboratory,1,17,6,10,2,1,2,1,0,0,0,0,0,0,3.57,4
FSHN,420,37693,Nutritional Aspects of Disease,14,41,0,6,6,0,0,1,0,0,1,0,0,0,3.78,4
FSHN,426,37690,Biochemical Nutrition I,0,45,11,3,6,0,0,0,0,0,0,0,0,0,3.82,4
FSHN,428,39109,Community Nutrition,10,2,8,3,4,2,0,0,0,0,0,0,0,0,3.61,4
FSHN,461,30256,Food Processing I,3,32,4,8,5,4,0,2,0,0,0,0,0,0,3.64,4
FSHN,465,30259,Principles of Food Technology,12,14,2,0,0,0,0,1,0,0,1,0,0,0,3.81,4
FSHN,466,30267,Food Product Development,0,30,0,5,1,0,0,0,0,0,0,0,0,0,3.88,4
FSHN,469,37686,Package Engineering,1,25,0,0,3,0,0,1,0,0,0,0,0,0,3.83,4
FSHN,471,48206,Food & Industrial Microbiology,10,14,9,3,3,0,2,0,0,0,0,0,1,0,3.64,4
FSHN,480,37665,Basic Toxicology,0,17,0,0,13,0,0,5,0,0,0,0,0,0,3.34,4
FSHN,514,65371,Advanced Food Chemistry,0,20,0,1,0,0,0,0,0,0,0,0,0,0,3.97,4
FSHN,519,67170,Flavor Chemistry and Analysis,8,31,0,1,0,0,0,0,0,0,0,0,0,0,3.98,4
GCL,126,66493,Urban Sustainability,0,13,3,2,0,1,0,0,0,0,2,0,0,0,3.54,4
GCL,129,66830,Designing with Water,0,5,10,2,7,1,0,0,0,0,0,0,0,0,3.48,4
GCL,143,67168,Mapping Inequalities,7,14,0,0,0,0,0,1,0,0,0,0,0,0,3.91,4
GCL,200,66461,Frameworks for Inequality,0,8,10,4,1,0,0,0,0,0,0,0,0,0,3.7,4
GCL,200,66463,Frameworks for Inequality,1,10,3,5,2,2,1,0,0,1,0,0,0,0,3.47,4
GCL,200,66617,Frameworks for Inequality,1,16,0,0,4,0,0,2,0,0,1,0,0,0,3.54,4
GCL,210,66474,Frameworks for Sustainability,1,4,6,2,3,2,0,0,1,0,1,1,0,0,3.16,4
GE,100,32141,Introduction to ISE,55,23,16,0,4,3,0,0,0,0,0,0,2,0,3.79,4
GE,261,62884,Business Side of Engineering,0,35,0,0,39,0,0,13,0,0,5,0,4,2,3,4
GE,310,32152,General Engineering Design,2,12,17,8,7,2,3,1,1,1,0,0,2,0,3.27,4
GE,320,37588,Control Systems,5,8,18,5,8,4,3,3,0,0,1,0,0,0,3.33,4
GE,361,30288,Emotional Intelligence Skills,0,11,6,4,2,1,2,0,1,0,1,0,1,0,3.29,4
GE,400,30306,Engineering Law,0,19,23,7,6,2,1,0,0,0,0,0,0,0,3.61,4
GE,402,61633,Comp-Aided Product Realization,0,3,7,9,3,1,0,0,0,0,0,0,0,0,3.45,4
GE,410,30294,Component Design,1,9,9,2,0,1,1,1,0,0,0,1,1,0,3.36,4
GE,420,32187,Digital Control Systems,6,4,5,2,2,3,1,2,1,0,0,0,0,0,3.35,4
GE,450,52698,Decision Analysis I,3,5,14,8,8,8,5,4,0,0,0,0,0,0,3.2,4
GE,495,30318,Senior Engineering Project II,9,40,2,0,1,0,0,0,0,0,0,0,0,0,3.97,4
GEOG,101,37605,Global Development&Environment,11,3,2,5,2,0,0,0,0,1,0,0,0,0,3.64,4
GEOG,101,37606,Global Development&Environment,7,5,2,6,1,1,1,0,0,0,0,0,0,0,3.62,4
GEOG,103,32229,Earth's Physical Systems,16,28,5,3,13,2,0,4,0,0,2,1,9,1,3.12,4
GEOG,104,30332,Social and Cultural Geography,0,15,0,10,11,0,0,2,0,0,0,0,0,0,3.43,4
GEOG,106,40043,Geographies of Globalization,15,25,20,6,8,6,0,0,1,0,0,0,0,0,3.64,4
GEOG,204,30335,Cities of the World,0,13,19,23,23,9,7,3,2,1,4,0,0,0,3.1,4
GEOG,221,66484,Geographies of Global Conflict,0,13,6,13,9,9,2,6,7,0,1,0,0,0,3,4
GEOG,379,40685,Intro to GIS Systems,16,19,7,8,5,5,3,2,0,3,0,0,1,0,3.42,4
GEOG,406,47127,Fluvial Geomorphology,2,5,1,2,4,3,1,3,0,0,1,0,0,0,3.08,4
GEOG,438,47130,Geography of Health Care,0,11,4,2,3,0,2,0,0,0,0,0,0,0,3.61,4
GEOG,468,37450,Biological Modeling,9,4,8,1,0,0,0,0,0,0,0,0,0,0,3.84,4
GEOG,473,40688,Digital Cartography & Map Dsgn,2,19,5,0,1,0,1,0,0,0,1,0,0,0,3.75,4
GEOG,480,59480,Principles of GIS,1,10,9,2,2,1,0,0,1,0,0,0,0,0,3.62,4
GEOL,100,37480,Planet Earth,8,3,3,3,0,2,2,1,1,0,0,1,0,0,3.31,4
GEOL,100,37482,Planet Earth,3,7,5,1,4,1,0,0,1,1,0,0,0,0,3.45,4
GEOL,107,43017,Physical Geology,1,0,5,9,2,3,1,0,0,0,0,0,0,0,3.27,4
GEOL,117,30375,The Oceans,0,12,16,11,17,9,6,2,4,1,1,2,4,0,2.9,4
GEOL,117,61106,The Oceans,28,15,18,8,11,6,4,6,1,1,0,1,6,0,3.23,4
GEOL,118,30379,Natural Disasters,42,26,26,27,29,22,22,13,6,8,8,6,5,1,2.97,4
GEOL,411,32326,Structural Geol and Tectonics,1,5,5,2,9,3,1,3,3,1,1,1,0,0,2.87,4
GEOL,432,30386,Mineralogy and Mineral Optics,0,2,2,2,4,1,3,1,1,1,1,3,2,0,2.25,2
GEOL,470,62891,Introduction to Hydrogeology,6,7,4,10,0,2,2,1,0,1,0,0,1,0,3.33,4
GER,101,37584,Beginning German I,1,4,8,3,2,4,0,0,0,0,0,0,0,0,3.46,4
GER,101,37579,Beginning German I,3,8,3,3,1,2,0,2,0,0,0,0,1,0,3.36,4
GER,101,37587,Beginning German I,0,6,4,5,3,0,2,0,0,1,0,0,2,0,3.06,4
GER,101,37589,Beginning German I,1,2,3,2,4,2,3,1,1,1,1,0,2,0,2.61,3
GER,103,32349,Intermediate German I,1,5,1,2,4,3,2,1,1,1,0,2,0,0,2.84,4
GER,103,32330,Intermediate German I,3,9,4,0,2,0,0,1,0,0,1,0,1,0,3.41,4
GER,250,66715,Grimms' Fairy Tales - ACP,1,13,6,2,0,0,0,0,0,0,0,0,0,0,3.85,4
GER,260,42530,The Holocaust in Context - ACP,3,5,2,7,0,1,0,1,0,1,0,0,1,1,3.27,4
GER,270,49122,Sexuality and Literature,4,10,4,3,1,1,0,0,0,0,0,0,0,0,3.75,4
GLBL,100,54575,Intro to Global Studies,2,21,4,3,0,0,0,0,0,0,0,0,0,0,3.89,4
GLBL,100,54577,Intro to Global Studies,4,12,2,5,1,2,0,0,0,0,0,1,1,0,3.46,4
GLBL,100,54856,Intro to Global Studies,2,10,9,3,4,2,0,0,0,0,0,0,0,0,3.61,4
GLBL,100,60712,Intro to Global Studies,7,10,5,5,0,2,0,0,0,0,1,0,0,0,3.64,4
GLBL,100,61401,Intro to Glbl Stds Crossroads,5,10,7,1,1,1,1,1,1,1,0,0,0,0,3.52,4
GLBL,100,54580,Intro to Global Studies,4,7,1,4,4,0,0,1,0,0,0,1,3,0,3.03,4
GLBL,225,63888,Career Development:Internships,0,14,3,3,1,0,0,0,0,0,0,0,0,1,3.81,4
GLBL,240,63656,Global Health,11,7,8,8,6,0,5,0,0,1,3,0,1,0,3.24,4
GLBL,296,58754,Politics of Belonging,4,13,3,2,0,0,0,1,0,0,0,0,0,0,3.81,4
GLBL,350,65017,Poverty in a Global Context,0,5,10,4,0,0,0,0,0,0,0,0,2,0,3.33,4
GS,101,52360,Exploring General Studies,7,26,3,1,5,1,0,2,0,0,0,0,0,0,3.73,4
GS,101,52396,Exploring General Studies,1,26,8,1,3,2,1,1,1,0,0,0,1,0,3.58,4
GS,101,52381,Exploring General Studies,8,19,5,6,2,0,0,1,0,2,0,0,4,0,3.34,4
GS,101,52365,Exploring General Studies,22,9,3,2,3,3,2,1,0,1,1,0,0,0,3.57,4
GS,101,52393,Exploring General Studies,25,8,3,3,1,1,2,1,0,0,1,1,1,0,3.55,4
GS,101,52373,Exploring General Studies,0,37,0,2,2,0,0,0,1,0,0,1,2,0,3.62,4
GS,101,52390,Exploring General Studies,0,25,8,6,0,1,1,0,0,0,0,3,1,0,3.47,4
GS,101,52369,Exploring General Studies,0,8,5,6,10,5,3,5,0,1,1,1,0,0,2.97,4
GS,101,52385,Exploring General Studies,0,25,6,2,3,1,1,1,1,0,0,1,4,0,3.27,4
GS,101,52394,Exploring General Studies,12,22,4,0,0,0,1,4,0,0,0,1,1,0,3.59,4
GS,101,52367,Exploring General Studies,0,22,6,3,3,2,2,0,2,2,1,1,1,0,3.26,4
GS,101,52377,Exploring General Studies,0,10,7,2,10,0,2,9,1,1,2,0,3,0,2.77,4
GS,101,52363,Exploring General Studies,4,20,8,1,3,5,1,0,0,1,1,0,1,0,3.46,4
GS,101,52386,Exploring General Studies,0,26,6,3,4,2,1,0,1,0,0,0,0,0,3.66,4
GS,101,52359,Exploring General Studies,28,6,1,0,2,0,3,0,1,1,0,1,2,0,3.47,4
GS,101,52382,Exploring General Studies,17,16,3,1,0,2,0,0,0,0,0,0,2,0,3.7,4
GS,101,52364,Exploring General Studies,0,18,6,3,3,3,3,0,0,1,0,0,2,0,3.32,4
GS,101,52383,Exploring General Studies,23,13,4,2,0,1,0,1,0,0,0,0,0,0,3.86,4
GS,101,52397,Exploring General Studies,3,19,3,3,4,1,1,4,2,2,1,0,2,0,3.13,4
GS,101,52388,Exploring General Studies,38,4,0,1,1,0,0,0,0,0,0,0,0,0,3.96,4
GS,101,52395,Exploring General Studies,10,22,4,2,2,2,1,1,0,0,1,0,2,0,3.53,4
GS,101,52371,Exploring General Studies,0,11,4,9,9,2,0,1,1,0,2,0,7,0,2.75,4
GS,101,52387,Exploring General Studies,0,32,2,2,6,0,0,1,1,0,0,0,1,0,3.64,4
GS,101,52392,Exploring General Studies,17,9,4,2,3,1,1,1,0,0,0,1,5,0,3.23,4
GS,101,52379,Exploring General Studies,0,32,1,1,2,3,1,1,0,0,0,0,4,0,3.41,4
GS,101,52370,Exploring General Studies,0,27,6,2,3,1,4,1,0,0,0,0,1,0,3.55,4
GS,101,52380,Exploring General Studies,28,3,2,1,0,2,3,2,1,1,0,0,2,0,3.42,4
GS,101,52389,Exploring General Studies,0,31,4,3,3,1,0,3,1,0,1,0,0,0,3.6,4
GS,101,52398,Exploring General Studies,13,8,6,0,0,2,2,2,3,0,1,0,0,0,3.41,4
GS,101,52400,Exploring General Studies,0,17,6,4,5,2,3,0,0,0,1,1,6,0,2.94,4
GS,101,52402,Exploring General Studies,0,13,4,3,3,1,5,3,0,0,1,0,5,0,2.82,4
GS,101,52403,Exploring General Studies,0,14,1,0,4,4,4,3,1,1,1,0,2,1,2.9,4
GS,101,52399,Exploring General Studies,16,4,2,1,1,3,0,0,0,0,0,0,0,0,3.77,4
GS,101,52401,Exploring General Studies,0,23,1,3,1,2,3,2,5,0,1,1,2,0,3.07,4
GS,101,52391,Exploring General Studies,19,24,4,1,0,2,0,3,0,0,0,0,1,0,3.73,4
GS,101,52793,Exploring General Studies,0,48,2,0,1,0,1,0,0,0,0,0,0,1,3.94,4
GS,101,52376,Exploring General Studies,27,26,1,2,0,0,0,0,0,0,0,0,0,0,3.97,4
GS,101,52794,Exploring General Studies,0,45,4,0,4,0,0,1,0,0,0,0,1,0,3.79,4
GS,101,63651,Exploring General Studies,4,22,5,1,2,3,0,3,1,1,1,1,3,0,3.2,4
GS,101,52361,Exploring General Studies,0,21,2,0,3,0,1,0,0,0,0,0,0,0,3.8,4
GS,101,52404,Exploring General Studies,0,24,1,1,1,0,0,1,0,0,0,0,0,0,3.86,4
GWS,100,55561,Intro Gender & Women's Studies,0,0,6,4,5,3,4,2,0,0,0,2,1,0,2.7,3
GWS,100,55562,Intro Gender & Women's Studies,0,2,7,5,5,0,0,4,2,0,0,1,0,0,2.98,4
GWS,100,55564,Intro Gender & Women's Studies,0,1,2,4,6,5,1,4,1,0,1,0,0,0,2.76,4
GWS,250,55678,Gender and Representation,0,11,7,2,4,5,1,0,0,0,0,0,0,0,3.47,4
GWS,370,42909,Queer Theory,0,7,2,5,0,4,0,1,1,0,0,0,1,0,3.16,4
GWS,385,61612,Transnational Sexualities,0,9,7,8,1,0,2,0,0,0,0,0,0,0,3.56,4
HDFS,101,59642,Issues & Careers in HDFS,0,39,0,0,3,0,0,1,0,1,0,0,1,2,3.74,4
HDFS,101,67230,Issues & Careers in HDFS,6,11,9,4,3,3,1,1,0,0,0,0,0,0,3.57,4
HDFS,105,37618,Intro to Human Development,0,207,0,0,44,0,0,11,0,0,0,0,1,1,3.73,4
HDFS,105,57486,Intro to Human Development,39,36,11,7,4,0,0,0,0,0,0,0,0,0,3.87,4
HDFS,120,58117,Intro to Family Studies,1,13,11,5,6,3,0,3,0,0,1,0,1,0,3.32,4
HDFS,220,53614,Families in Global Perspective,12,22,15,9,13,6,8,4,1,2,0,1,0,0,3.31,4
HDFS,225,38776,Close Relationships,0,8,5,4,2,2,3,2,0,2,1,0,1,0,2.99,4
HDFS,290,46524,Intro to Research Methods,1,10,4,7,2,6,1,1,0,0,0,0,2,0,3.19,4
HDFS,301,49014,Infancy & Early Childhood,0,9,6,3,6,0,1,1,1,0,1,1,1,0,3.12,4
HDFS,401,32407,Socialization and Development,0,21,0,0,8,0,0,1,0,0,2,0,0,0,3.5,4
HDFS,405,66263,Adolescent Development,1,10,5,2,2,0,1,0,0,0,0,1,1,0,3.39,4
HDFS,425,32422,Critical Family Transitions,3,9,9,0,3,1,3,0,0,0,0,0,1,0,3.44,4
HIST,100,55493,Global History,6,10,3,0,2,0,1,0,0,0,1,0,1,0,3.51,4
HIST,100,55494,Global History,3,11,2,3,4,0,0,1,1,0,0,0,0,0,3.56,4
HIST,100,55495,Global History,6,5,2,2,4,0,0,2,1,0,0,0,0,0,3.44,4
HIST,100,55496,Global History,4,11,2,0,1,0,0,3,0,1,1,0,0,0,3.42,4
HIST,100,55498,Global History,4,7,4,1,2,0,1,0,0,0,1,0,1,0,3.4,4
HIST,100,55499,Global History,5,9,4,1,2,0,0,2,0,0,1,0,0,0,3.54,4
HIST,100,55500,Global History,6,10,2,3,2,0,0,2,0,0,0,0,0,0,3.65,4
HIST,100,55501,Global History,3,13,2,1,0,1,0,2,0,0,1,0,0,0,3.58,4
HIST,100,55502,Global History,1,14,1,1,4,3,0,0,0,0,0,0,0,0,3.63,4
HIST,100,67151,Global History,5,9,4,2,1,0,2,1,0,0,0,0,0,0,3.63,4
HIST,100,67152,Global History,9,6,0,1,4,0,0,1,0,0,0,0,1,1,3.52,4
HIST,102,67091,Reacting to the Past,0,8,4,4,4,3,1,1,0,0,0,0,1,0,3.24,4
HIST,102,67092,Reacting to the Past,2,4,4,5,3,2,1,0,0,0,0,0,0,0,3.43,4
HIST,105,64521,Latin America to Independence,0,4,8,9,6,4,3,1,1,0,2,0,0,0,3.07,4
HIST,120,34316,East Asian Civilizations,0,0,2,2,4,3,5,1,2,0,1,0,2,0,2.36,2
HIST,120,46947,East Asian Civilizations,0,1,1,2,7,1,2,2,2,0,0,0,3,0,2.38,2
HIST,130,34311,History of South Asia,1,5,9,10,3,0,1,0,0,0,0,0,1,0,3.39,4
HIST,141,39268,Western Civ to 1660,3,6,3,3,6,0,0,0,0,0,0,0,2,0,3.26,4
HIST,141,39269,Western Civ to 1660,1,5,7,4,4,1,1,1,0,0,0,0,0,0,3.42,4
HIST,141,45764,Western Civ to 1660,3,7,3,5,2,0,0,0,1,0,1,0,1,0,3.32,4
HIST,141,34026,Western Civ to 1660,2,1,2,8,6,2,0,0,0,0,0,0,0,0,3.3,4
HIST,141,34020,Western Civ to 1660,6,3,7,2,2,0,0,1,0,0,0,1,0,0,3.5,4
HIST,142,34064,Western Civ Since 1660,7,7,5,2,1,2,0,0,0,0,0,0,0,0,3.72,4
HIST,142,34077,Western Civ Since 1660,8,4,5,2,1,0,0,1,0,0,1,0,0,0,3.59,4
HIST,142,45768,Western Civ Since 1660,7,6,3,1,1,0,0,1,1,0,0,0,1,0,3.48,4
HIST,171,34128,US Hist to 1877,0,3,8,5,4,1,1,0,0,0,0,0,0,0,3.41,4
HIST,172,34208,US Hist Since 1877,0,11,7,3,0,0,1,0,0,0,0,0,0,0,3.73,4
HIST,172,34233,US Hist Since 1877,0,11,4,2,4,0,0,0,0,1,0,0,1,0,3.42,4
HIST,220,49157,Traditional China,1,1,8,5,5,6,4,0,1,1,0,0,1,0,2.95,4
HIST,252,59534,The Holocaust,0,4,9,3,1,2,1,1,0,1,0,0,0,0,3.32,4
HIST,252,59538,The Holocaust,0,6,8,3,1,1,1,0,0,0,0,0,1,0,3.4,4
HIST,258,30349,20thC World to Midcentury,0,5,7,12,7,7,2,2,1,0,0,0,0,0,3.16,4
HIST,259,43297,20thC World from Midcentury,0,13,13,7,1,1,1,0,0,0,0,0,6,0,3.12,4
HIST,260,43296,History of Russia,0,8,9,5,6,3,1,4,0,0,0,0,1,0,3.19,4
HIST,263,55477,US History of Medicine,2,14,12,8,8,1,1,0,1,0,0,0,1,0,3.44,4
HIST,264,51421,Technology in Western Society,6,20,9,1,1,0,0,0,1,0,0,0,0,0,3.82,4
HIST,271,56172,Nineteenth Century America,0,5,8,5,9,1,0,2,0,0,0,0,2,0,3.12,4
HIST,286,65735,US Gender History Since 1877,3,16,2,0,1,0,0,0,0,0,0,0,2,1,3.6,4
HIST,300,34346,Between China and the World,2,4,6,7,4,4,2,0,0,0,0,0,0,0,3.33,4
HIST,335,55487,Middle East 1566-1914,0,2,4,11,8,1,0,0,0,0,0,0,0,0,3.31,4
HIST,380,57618,US in an Age of Empire,4,7,7,2,2,1,0,0,0,0,0,0,0,0,3.7,4
HIST,381,66992,Urban History,1,7,4,1,3,1,3,1,0,0,0,0,0,0,3.37,4
HIST,390,59524,Integration & American Sports,0,7,12,9,0,0,0,2,0,0,0,0,0,0,3.53,4
HIST,422,34210,Soc-Econ Hist Modern China,0,7,4,7,4,1,1,0,0,0,0,0,1,0,3.34,4
HIST,439,30376,The Ottoman Empire,3,10,2,3,1,1,1,0,1,0,0,1,0,0,3.46,4
HORT,100,32590,Introduction to Horticulture,6,20,6,3,11,3,1,1,0,0,2,0,0,0,3.46,4
HORT,105,34268,Vegetable Gardening,8,1,5,2,7,0,1,1,0,0,1,0,0,0,3.36,4
HORT,105,34270,Vegetable Gardening,6,4,2,1,3,1,2,0,1,0,1,1,0,0,3.2,4
HORT,105,34273,Vegetable Gardening,5,6,4,2,4,0,1,1,0,0,2,1,1,0,3.12,4
HORT,105,34275,Vegetable Gardening,2,7,4,3,2,1,0,0,0,0,1,0,1,0,3.35,4
HORT,105,34277,Vegetable Gardening,5,4,1,8,3,2,1,1,1,1,0,0,1,0,3.14,4
HORT,106,30924,The Sustainable Home Garden,9,16,22,11,10,6,5,2,2,0,0,0,1,0,3.36,4
HORT,107,32595,Introduction to Floral Design,0,15,0,6,6,0,0,1,0,0,0,0,0,0,3.57,4
HORT,107,32597,Introduction to Floral Design,0,13,2,6,7,0,0,0,0,0,0,0,0,0,3.58,4
HORT,107,39789,Introduction to Floral Design,0,16,0,3,9,0,0,2,0,0,0,0,0,0,3.5,4
HORT,107,65159,Introduction to Floral Design,0,11,0,9,5,0,0,0,0,0,0,0,0,0,3.56,4
IB,100,66845,Biology in Today's World,0,74,0,0,109,0,0,59,0,0,13,0,24,2,2.7,3
IB,105,55520,Environmental Biology,0,44,0,0,15,0,0,4,0,0,1,0,1,0,3.54,4
IB,105,66854,Environmental Biology,53,93,69,35,49,17,14,13,10,7,3,11,22,4,3.13,4
IB,150,35597,Organismal & Evolutionary Biol,5,11,4,1,0,0,2,0,0,0,0,0,0,0,3.77,4
IB,151,35604,Organismal & Evol Biol Lab,1,12,2,2,0,2,2,1,0,0,0,0,0,0,3.55,4
IB,199,41563,Undergraduate Open Seminar,43,31,7,5,4,0,1,0,1,0,0,0,0,0,3.85,4
IB,204,49804,Genetics,0,9,28,35,55,35,19,8,5,1,4,0,2,0,2.92,4
IB,270,46682,Evolution of Molecules & Cells,0,8,6,2,7,0,1,0,0,0,0,0,0,0,3.5,4
IB,360,58032,Evolution and Human Health,0,27,0,2,15,0,1,3,0,0,0,0,0,0,3.5,4
IB,360,58032,Evolution and Human Health,0,47,0,2,38,0,4,6,0,0,0,0,0,0,3.4,4
IB,360,59719,Evolution and Human Health,0,20,0,0,23,0,3,3,0,0,0,0,0,0,3.31,4
IB,411,62360,Bioinspiration,17,39,12,7,3,3,3,2,0,0,1,0,13,1,3.2,4
IB,426,30391,Env and Evol Physl of Animals,1,11,0,6,4,5,2,2,3,0,0,0,0,1,3.15,4
IB,463,46687,Ichthyology,4,14,0,0,6,0,0,0,0,0,0,0,0,0,3.75,4
IB,471,35459,General Mycology,6,8,3,2,1,1,1,1,0,0,0,0,0,0,3.64,4
IB,472,49625,Plant Molecular Biology,7,9,0,6,3,0,0,0,0,0,0,0,0,0,3.72,4
IB,501,66838,Programming for Genomics,0,8,6,7,2,3,0,0,0,0,0,0,0,0,3.51,4
IB,534,60472,Evolution and Medicine,17,8,3,1,0,1,0,0,0,0,0,0,0,0,3.9,4
IE,300,30395,Analysis of Data,7,8,1,4,6,3,1,3,0,0,1,0,1,0,3.21,4
IE,300,53217,Analysis of Data,1,9,5,4,3,6,2,3,2,1,1,1,1,0,2.92,4
IE,300,61376,Analysis of Data,6,7,4,11,8,8,4,3,1,0,2,0,1,0,3.05,4
IE,310,31822,Operations Research,4,38,15,14,6,1,3,2,2,0,0,0,0,0,3.58,4
IE,360,61503,Facilities Planning and Design,2,4,8,6,9,5,1,0,1,0,0,0,0,0,3.27,4
IE,410,30396,Stochastic Processes & Applic,1,3,0,2,4,0,7,2,0,0,4,0,8,0,1.9,1
IE,410,30396,Stochastic Processes & Applic,2,19,0,9,5,1,1,0,0,0,1,0,3,0,3.27,4
IE,411,62888,Optimization of Large Systems,8,5,2,4,2,5,6,0,0,0,0,0,0,0,3.35,4
IE,412,30397,OR Models for Mfg Systems,2,5,3,4,7,2,3,6,2,0,1,0,0,0,2.93,4
IE,430,30402,Economic Found of Quality Syst,0,8,7,8,36,9,4,8,3,3,1,0,0,0,2.89,4
